G|875|Soria|000000-000999,050000-050999,060000-060999,075000-075999,080000-080999|
G|876|Zaragoza|000000-119999,140000-179999,200000-209999,220000-229999,240000-299999,330000-331999,340000-340999,363000-363999,376000-376999,380000-380999,387000-388999,400000-419999,430000-469999,500000-509999,530000-569999,590000-619999,630000-679999,700000-719999,750000-779999,800000-809999,870000-879999,900000-909999,950000-959999,970000-979999|
G|877|Tarragona|000000-099999,111000-111999,140000-141999,158000-158999,177000-177999,180000-180999,200000-249999,290000-299999,400000-409999,440000-459999,600000-619999,640000-679999,890000-919999,930000-939999,960000-979999,990000-999999|
G|878|Teruel|000000-001999,053000-053999,078000-078999,080000-080999|
G|879|Palencia|000000-000999,079000-081999|
G|880|Zamora|040000-040999,060000-060999,080000-080999,088000-088999|
G|881|A Coruña|000000-309999,320000-349999,430000-430999,440000-440999,444000-444999,480000-481999,490000-490999,500000-519999,540000-559999,590000-609999,800000-999999|
G|882|Lugo|000000-000999,053000-053999,080000-080999,082000-082999|
G|883|Valladolid|000000-000999,030000-030999,050000-050999,060000-060999,080000-080999,083000-083999,800000-859999,990000-999999|
G|884|Asturias|000000-001999,021000-021999,030000-031999,040000-040999,180000-180999,184000-184999|
G|886|Pontevedra|000000-039999,060000-069999,080000-179999,200000-229999,250000-259999,290000-319999,340000-349999,400000-409999,440000-449999,490000-499999,530000-530999,580000-581999,600000-609999,640000-649999,660000-669999,680000-689999,786000-786999,789000-789999,900000-909999,980000-999999|
G|887|León|000000-001999,050000-051999,080000-080999,087000-087999,870000-909999,980000-999999|
G|888|Ourense|000000-000999,040000-040999,053000-053999,088000-088999|
G|910-918|Madrid|000000-999999|
G|919|Madrid|010000-379999,390000-429999,490000-509999,550000-559999,700000-709999,770000-779999,890000-949999,990000-999999|
G|920|Ávila|000000-129999,180000-419999,440000-459999,500000-509999,590000-609999,700000-709999,750000-779999,800000-809999,820000-839999,880000-889999,900000-929999,950000-959999,990000-999999|
G|921|Segovia|000000-239999,250000-259999,290000-319999,400000-619999,640000-649999,700000-709999,750000-759999,800000-809999,820000-829999,880000-889999,900000-929999|
G|922|Santa Cruz de Tenerife|000000-999999|
G|923|Salamanca|000000-779999,800000-839999,850000-859999,880000-889999,900000-909999,920000-939999,980000-999999|
G|924|Badajoz|000000-999999|
G|925|Toledo|000000-999999|
G|926|Ciudad Real|000000-649999,660000-789999,800000-999999|
G|927|Cáceres|000000-859999,870000-889999,900000-929999,970000-979999,990000-999999|
G|928|Palmas, Las|000000-999999|
G|930|Barcelona|000000-359999,380000-429999,440000-449999,500000-509999,880000-889999,900000-909999,930000-949999|
G|931|Barcelona|000000-359999,370000-999999|
G|932|Barcelona|000000-579999,590000-829999,840000-859999,870000-999999|
G|933-934|Barcelona|000000-999999|
G|935|Barcelona|000000-259999,270000-689999,700000-769999,790000-959999,970000-979999,990000-999999|
G|936|Barcelona|000000-079999,090000-119999,160000-169999,190000-429999,450000-459999,470000-479999,500000-509999,520000-699999,710000-869999,880000-899999,910000-949999,970000-979999,990000-999999|
G|937-938|Barcelona|000000-999999|
G|941|Rioja, La|000000-719999,740000-769999,800000-809999,830000-849999,870000-919999,940000-949999,990000-999999|
G|942|Cantabria|000000-999999|
G|943|Gipuzkoa|000000-999999|
